index,question_word_count,answer_word_count,question_sentence_count,answer_sentence_count,question_readability,answer_readability,flagged_suicide_in_question,flagged_suicide_in_answer,question_emails_found,question_phones_found,answer_emails_found,answer_phones_found,question_entities_sample,answer_entities_sample
112,16,63,2,5,77.1,65.13,False,False,0,0,0,0,[],[]
113,16,130,2,9,77.1,50.96,False,False,0,0,0,1,[],[]
114,16,42,2,4,77.1,69.28,False,False,0,0,0,0,[],[]
115,16,320,2,10,77.1,59.09,False,False,0,0,0,0,[],[]
116,16,84,2,9,77.1,73.48,False,False,0,0,0,0,[],[]
117,16,362,2,26,77.1,66.04,False,True,0,0,0,1,[],[]
118,16,116,2,4,77.1,35.91,False,False,0,0,0,0,[],[]
119,16,85,2,8,77.1,66.66,False,False,0,0,0,0,[],[]
120,16,346,2,17,77.1,47.78,False,False,0,0,0,0,[],[]
121,16,127,2,8,77.1,72.81,False,False,0,0,0,0,[],[]
122,16,93,2,3,77.1,48.02,False,False,0,0,0,0,[],[]
123,16,62,2,5,77.1,57.8,False,False,0,0,0,0,[],[]
124,16,66,2,4,77.1,46.52,False,False,0,0,0,0,[],[]
125,16,310,2,16,77.1,56.72,False,False,0,0,0,1,[],[]
126,76,210,10,11,75.56,57.33,False,False,0,0,0,0,[],[]
127,76,101,10,5,75.56,77.44,False,False,0,0,0,0,[],[]
128,43,463,4,15,75.91,54.54,False,False,0,0,0,0,[],[]
129,43,127,4,9,75.91,75.94,False,False,0,0,0,0,[],[]
130,43,185,4,12,75.91,69.55,False,False,0,0,0,0,[],[]
131,43,20,4,1,75.91,80.79,False,False,0,0,0,0,[],[]
132,43,300,4,19,75.91,63.63,False,False,0,0,0,0,[],[]
133,61,108,3,7,84.95,74.46,True,False,0,0,0,0,[],[]
134,55,53,6,4,80.63,64.09,False,False,0,0,0,0,[],[]
135,30,368,4,26,97.7,75.91,False,False,0,0,0,0,[],[]
136,30,199,4,12,97.7,78.62,False,False,0,0,0,0,[],[]
137,30,167,4,10,97.7,66.28,False,False,0,0,0,0,[],[]
138,30,42,4,3,97.7,73.78,False,False,0,0,0,0,[],[]
139,30,107,4,7,97.7,69.56,False,False,0,0,0,0,[],[]
